frame,ssim,mse,text,trans
447,99.92,2.890332128064836e-06,,
448,99.93,2.890332128064836e-06,,
449,99.97,2.890332128064836e-06,,
450,99.92,1.445166064032418e-06,,
451,99.92,1.445166064032418e-06,,
452,100.0,0.0,,
453,100.0,0.0,,
454,100.0,0.0,,
455,100.0,0.0,,
456,100.0,0.0,,
457,100.0,0.0,,
458,100.0,0.0,,
459,100.0,0.0,,
460,100.0,0.0,,
461,99.99,0.0,,
462,99.99,1.445166064032418e-06,,
463,99.98,1.445166064032418e-06,,
464,99.98,1.445166064032418e-06,,
465,99.99,1.445166064032418e-06,,
466,99.99,1.445166064032418e-06,,
467,99.99,1.445166064032418e-06,,
468,99.99,0.0,,
469,100.0,0.0,,
470,100.0,0.0,,
471,100.0,0.0,,
472,99.92,5.780664256129672e-06,,
473,99.98,1.445166064032418e-06,,
474,99.98,1.445166064032418e-06,,
475,99.98,1.445166064032418e-06,,
476,99.97,2.890332128064836e-06,,
477,99.97,1.445166064032418e-06,,
478,99.97,2.890332128064836e-06,,
479,99.97,2.890332128064836e-06,,
480,99.96,2.890332128064836e-06,,
481,99.39,8.670996384194507e-06,,
482,99.92,1.445166064032418e-06,,
483,99.97,2.890332128064836e-06,,
484,99.96,2.890332128064836e-06,,
485,99.97,2.890332128064836e-06,,
486,99.95,2.890332128064836e-06,,
487,99.97,2.890332128064836e-06,,
488,99.96,2.890332128064836e-06,,
489,99.89,2.890332128064836e-06,,
490,99.92,1.445166064032418e-06,,
491,99.93,2.890332128064836e-06,,
492,99.94,4.335498192097253e-06,,
493,99.87,5.780664256129672e-06,,
494,99.92,2.890332128064836e-06,,
495,99.95,2.890332128064836e-06,,
496,99.96,2.890332128064836e-06,,
497,99.96,2.890332128064836e-06,,
498,99.96,2.890332128064836e-06,,
499,99.85,4.335498192097253e-06,,
500,99.91,5.780664256129672e-06,,
501,99.89,7.22583032016209e-06,,
502,99.82,1.0116162448226928e-05,,
503,99.84,1.3006494576291761e-05,,
504,99.84,1.445166064032418e-05,,
505,99.93,4.335498192097253e-06,,
506,99.97,2.890332128064836e-06,,
507,99.99,1.445166064032418e-06,,
508,99.94,2.890332128064836e-06,,
509,99.99,1.445166064032418e-06,,
510,99.95,2.890332128064836e-06,,
511,99.75,5.780664256129672e-06,,
512,99.98,1.445166064032418e-06,,
513,99.98,1.445166064032418e-06,,
514,99.95,2.890332128064836e-06,,
515,99.97,1.445166064032418e-06,,
516,99.99,1.445166064032418e-06,,
517,99.96,1.445166064032418e-06,,
518,100.0,0.0,,
519,99.95,1.445166064032418e-06,,
520,100.0,0.0,,
521,99.99,1.445166064032418e-06,,
522,99.99,1.445166064032418e-06,,
523,100.0,0.0,,
524,100.0,0.0,,
525,99.99,0.0,,
526,99.96,1.445166064032418e-06,,
527,100.0,0.0,,
528,99.99,0.0,,
529,99.96,1.445166064032418e-06,,
530,100.0,0.0,,
531,99.99,1.445166064032418e-06,,
532,100.0,0.0,,
533,100.0,0.0,,
534,99.99,1.445166064032418e-06,,
535,100.0,0.0,,
536,100.0,0.0,,
537,100.0,0.0,,
538,100.0,0.0,,
539,100.0,0.0,,
540,100.0,0.0,,
541,99.67,1.0116162448226928e-05,,
542,99.96,1.445166064032418e-06,,
543,99.99,1.445166064032418e-06,,
544,99.99,0.0,,
545,99.81,5.780664256129672e-06,,
546,99.97,1.445166064032418e-06,,
547,99.94,1.445166064032418e-06,,
548,100.0,0.0,,
549,99.99,0.0,,
550,100.0,0.0,,
551,99.99,1.445166064032418e-06,,
552,99.99,0.0,,
553,99.99,1.445166064032418e-06,,
554,99.98,1.445166064032418e-06,,
555,99.99,0.0,,
556,99.99,0.0,,
557,99.99,1.445166064032418e-06,,
558,99.99,1.445166064032418e-06,,
559,100.0,0.0,,
560,99.96,2.890332128064836e-06,,
561,99.98,1.445166064032418e-06,,
562,99.94,1.445166064032418e-06,,
563,99.84,2.890332128064836e-06,,
564,99.88,2.890332128064836e-06,,
565,99.8,4.335498192097253e-06,,
566,99.93,1.445166064032418e-06,,
567,99.99,0.0,,
568,99.9,1.445166064032418e-06,,
569,99.84,2.890332128064836e-06,,
570,99.85,2.890332128064836e-06,,
571,99.21,1.3006494576291761e-05,,
572,99.9,5.780664256129672e-06,,
573,99.86,5.780664256129672e-06,,
574,99.85,7.22583032016209e-06,,
575,99.97,1.445166064032418e-06,,
576,99.99,1.445166064032418e-06,,
577,99.78,7.22583032016209e-06,,
578,99.67,1.0116162448226928e-05,,
579,99.97,2.890332128064836e-06,,
580,99.93,2.890332128064836e-06,,
581,99.85,5.780664256129672e-06,,
582,99.96,2.890332128064836e-06,,
583,99.97,1.445166064032418e-06,,
584,99.99,1.445166064032418e-06,,
585,99.99,1.445166064032418e-06,,
586,99.97,1.445166064032418e-06,,
587,99.98,1.445166064032418e-06,,
588,99.97,1.445166064032418e-06,,
589,99.86,4.335498192097253e-06,,
590,99.85,4.335498192097253e-06,,
591,99.92,1.445166064032418e-06,,
592,99.83,4.335498192097253e-06,,
593,99.95,1.445166064032418e-06,,
594,99.92,1.445166064032418e-06,,
595,99.9,2.890332128064836e-06,,
596,99.96,1.445166064032418e-06,,
597,99.76,4.335498192097253e-06,,
598,99.87,2.890332128064836e-06,,
599,99.91,1.445166064032418e-06,,
600,99.77,4.335498192097253e-06,,
601,98.3,2.745815521661594e-05,,
602,98.87,1.8787158832421433e-05,,
603,99.79,7.22583032016209e-06,,
